ENTITY,YEAR,ADULT_LITERACY,YOUTH_LITERACY_M,YOUTH_LITERACY_F,OWID_REGION
Honduras,2018,87.0,94.9,98.2,North America
Honduras,2019,89.0,94.8,97.3,North America
Honduras,2023,89.0,94.6,96.5,North America
Hungary,1980,99.0,99.0,99.0,Europe
India,1981,41.0,66.0,40.0,Asia
India,1991,48.0,74.0,49.0,Asia
India,2001,61.0,84.0,68.0,Asia
India,2006,63.0,88.0,74.0,Asia
India,2011,69.0,90.0,82.0,Asia
India,2016,69.0,93.55494,86.73757,Asia
India,2020,69.0,99.07,90.95,Asia
India,2022,76.0,97.0,96.0,Asia
India,2023,82.0,98.0,96.0,Asia
Indonesia,1980,67.0,90.0,82.0,Asia
Indonesia,1990,82.0,97.0,95.0,Asia
Indonesia,2004,90.0,99.0,99.0,Asia
Indonesia,2006,92.0,97.0,96.0,Asia
Indonesia,2008,92.0,100.0,99.0,Asia
Indonesia,2009,93.0,100.0,99.0,Asia
Indonesia,2011,93.0,99.0,99.0,Asia
Indonesia,2014,95.0,100.0,100.0,Asia
Indonesia,2015,95.0,100.0,100.0,Asia
Indonesia,2016,95.0,100.0,100.0,Asia
Indonesia,2017,95.0,99.93,99.29,Asia
Indonesia,2018,96.0,100.0,100.0,Asia
Indonesia,2020,96.0,100.0,100.0,Asia
Indonesia,2022,96.0,92.91,94.72,Asia
Iran,1976,37.0,71.0,42.0,Asia
Iran,1986,52.0,85.0,66.0,Asia
Iran,1991,66.0,92.0,81.0,Asia
Iran,1996,73.0,96.0,91.0,Asia
Iran,2002,77.0,96.0,91.0,Asia
Iran,2005,82.0,98.0,97.0,Asia
Iran,2006,82.0,97.0,96.0,Asia
Iran,2008,83.0,98.0,97.0,Asia
Iran,2012,84.0,98.0,98.0,Asia
Iran,2013,85.0,98.0,97.0,Asia
Iran,2014,85.0,98.0,98.0,Asia
Iran,2016,86.0,98.0,98.0,Asia
Iraq,2000,74.0,89.0,80.0,Asia
Iraq,2006,74.0,89.0,72.85,Asia
Iraq,2011,74.0,89.0,71.93,Asia
Iraq,2012,77.0,87.0,79.0,Asia
Iraq,2014,82.0,92.0,86.0,Asia
Iraq,2016,83.0,93.0,88.0,Asia
Iraq,2017,86.0,95.0,92.0,Asia
Iraq,2018,86.0,95.0,87.38115,Asia
Israel,1983,92.0,99.0,98.0,Asia
Italy,1981,96.0,100.0,100.0,Europe
Italy,2001,98.0,100.0,100.0,Europe
Italy,2011,99.0,100.0,100.0,Europe
Italy,2019,99.0,100.0,100.0,Europe
Jamaica,1999,80.0,87.0,96.0,North America
Jamaica,2005,80.0,87.0,99.77,North America
Jamaica,2011,80.0,87.0,99.72,North America
Jamaica,2022,80.0,88.23,99.29619,North America
Jordan,1979,67.0,96.0,85.0,Asia
Jordan,2003,90.0,99.0,99.0,Asia
Jordan,2005,91.0,99.0,99.0,Asia
Jordan,2007,92.0,99.0,99.0,Asia
Jordan,2010,93.0,99.0,99.0,Asia
Jordan,2011,96.0,99.0,99.0,Asia
Jordan,2012,98.0,99.0,99.0,Asia
Jordan,2018,95.43145,97.42178,95.90284,Asia
Jordan,2023,95.0,99.0,99.0,Asia
Kazakhstan,1989,98.0,100.0,99.0,Asia
Kazakhstan,1999,100.0,100.0,100.0,Asia
Kazakhstan,2006,100.0,100.0,100.0,Asia
Kazakhstan,2009,100.0,100.0,100.0,Asia
Kazakhstan,2015,100.0,100.0,100.0,Asia
Kenya,2000,82.0,93.0,92.0,Africa
Kenya,2014,82.0,94.02,92.31,Africa
Kenya,2022,82.0,96.14752,95.28072,Africa
